x_mm,y_mm,z_mm,v_pp,v_max,v_min,frequency,pii,pd
9.375,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.8156192799855,0.0007925
12.5,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.1782794969738,0.0007899999999999999
15.625,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.3684069491344,0.0007925
-15.625,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.1504513959176,0.0007899999999999999
-12.5,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.9566317310657,0.0007925
-9.375,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.7653537630991,0.0007925
-6.25,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.2879368559204,0.0007899999999999999
-3.125,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.4080997444395,0.0007925
0.0,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.3048833879145,0.0007925
3.125,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.3747630774392,0.0007924999999999998
6.25,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.5225206631932,0.0007925
9.375,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,556.1711286640216,0.0007925
12.5,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,555.3024845153068,0.0007899999999999999
15.625,-9.375,0.0,19.6,10.8,-8.8,992.063492063492,554.937643693648,0.0007899999999999999
-15.625,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.2617307935415,0.0007925
-12.5,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.4826758017622,0.0007925
-9.375,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.7249631139447,0.0007925
-6.25,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,556.1390073472223,0.0007925
-3.125,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.7603143624123,0.0007899999999999999
0.0,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.2966600290393,0.0007925
3.125,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.094788120962,0.0007925
6.25,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.4275323807723,0.0007925
9.375,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.7128084331299,0.0007925
12.5,-6.25,0.0,19.6,10.8,-8.8,166458.59342488577,554.7413758348961,0.0007925
15.625,-6.25,0.0,19.6,10.8,-8.8,992.063492063492,555.4062195469901,0.0007925
-15.625,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.7407685605901,0.0007925
-12.5,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.2124047859761,0.0007899999999999999
-9.375,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.7432676318081,0.0007925
-6.25,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.8538774669547,0.0007925
-3.125,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.9844244679065,0.0007925
0.0,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.4359066269664,0.0007899999999999999
3.125,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,556.206227647753,0.0007925
6.25,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.5178384410813,0.0007925
9.375,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.6093751760843,0.0007925
12.5,-3.125,0.0,19.6,10.8,-8.8,992.063492063492,555.579838983427,0.0007899999999999999
